,0,1,2,3
92,['wildboar'],1,[73.97370338439941],"[[0, 249, 700, 1080]]"
93,[],0,[],[]
94,[],0,[],[]
95,[],0,[],[]
96,['wildboar'],1,[60.74918508529663],"[[0, 327, 743, 1080]]"
97,['wildboar'],1,[56.78631663322449],"[[0, 259, 717, 1080]]"
98,['wildboar'],1,[72.25230932235718],"[[0, 256, 731, 1080]]"
99,['wildboar'],1,[66.43087267875671],"[[4, 172, 612, 1080]]"
100,['wildboar'],1,[77.76416540145874],"[[0, 242, 640, 1080]]"
101,['wildboar'],1,[76.21371746063232],"[[0, 215, 615, 1080]]"
102,['wildboar'],1,[81.77504539489746],"[[0, 247, 625, 1080]]"
103,['wildboar'],1,[66.27706289291382],"[[0, 187, 605, 1080]]"
104,['wildboar'],1,[75.94704627990723],"[[0, 218, 629, 1080]]"
105,['wildboar'],1,[80.07551431655884],"[[0, 206, 622, 1079]]"
106,['wildboar'],1,[81.88974261283875],"[[0, 220, 607, 1080]]"
107,['wildboar'],1,[86.32535934448242],"[[0, 201, 604, 1080]]"
108,['wildboar'],1,[73.45726490020752],"[[0, 340, 710, 1080]]"
109,['wildboar'],1,[62.75785565376282],"[[10, 284, 594, 1080]]"
110,['wildboar'],1,[74.97828602790833],"[[94, 313, 610, 1080]]"
111,['wildboar'],1,[78.51494550704956],"[[3, 311, 619, 1078]]"
112,['wildboar'],1,[79.3436586856842],"[[0, 307, 610, 1080]]"
113,['wildboar'],1,[80.18249273300171],"[[0, 275, 604, 1078]]"
114,['wildboar'],1,[67.73977279663086],"[[42, 354, 612, 1080]]"
115,['wildboar'],1,[68.95877122879028],"[[0, 280, 561, 1071]]"
116,['wildboar'],1,[62.36218214035034],"[[32, 346, 658, 1080]]"
117,['wildboar'],1,[58.777934312820435],"[[0, 355, 630, 1073]]"
118,[],0,[],[]
119,[],0,[],[]
120,['wildboar'],1,[58.63075852394104],"[[22, 307, 623, 1080]]"
121,['wildboar'],1,[54.84621524810791],"[[0, 306, 699, 1080]]"
122,['wildboar'],1,[59.883034229278564],"[[0, 335, 685, 1080]]"
123,['wildboar'],1,[65.46685695648193],"[[5, 297, 602, 1080]]"
124,['wildboar'],1,[60.26310920715332],"[[28, 294, 580, 1080]]"
125,['wildboar'],1,[64.42798972129822],"[[7, 286, 579, 1080]]"
126,['wildboar'],1,[68.80309581756592],"[[0, 295, 659, 1080]]"
127,['wildboar'],1,[70.95884680747986],"[[0, 273, 654, 1080]]"
128,['wildboar'],1,[52.790623903274536],"[[0, 212, 665, 1080]]"
129,['wildboar'],1,[67.48499274253845],"[[0, 251, 617, 1073]]"
130,['wildboar'],1,[66.91391468048096],"[[0, 289, 627, 1073]]"
131,['wildboar'],1,[60.1728081703186],"[[0, 307, 627, 1073]]"
132,['wildboar'],1,[58.109116554260254],"[[13, 391, 668, 1080]]"
133,['wildboar'],1,[67.72583723068237],"[[0, 288, 620, 1076]]"
134,['wildboar'],1,[61.55899167060852],"[[67, 328, 635, 1080]]"
135,['wildboar'],1,[60.338592529296875],"[[0, 359, 665, 1080]]"
136,['wildboar'],1,[73.99132251739502],"[[0, 274, 652, 1080]]"
137,['wildboar'],1,[87.81827688217163],"[[16, 319, 582, 1078]]"
138,['wildboar'],1,[84.483402967453],"[[0, 300, 625, 1080]]"
139,['wildboar'],1,[89.59691524505615],"[[8, 295, 599, 1080]]"
140,['wildboar'],1,[62.613463401794434],"[[0, 280, 608, 1080]]"
141,['wildboar'],1,[66.12908840179443],"[[0, 267, 603, 1080]]"
142,['wildboar'],1,[66.53082966804504],"[[0, 359, 664, 1080]]"
143,['wildboar'],1,[68.51769685745239],"[[22, 295, 599, 1073]]"
144,[],0,[],[]
145,['wildboar'],1,[64.45804834365845],"[[0, 316, 673, 1080]]"
146,['wildboar'],1,[87.76620626449585],"[[0, 286, 606, 1074]]"
147,['wildboar'],1,[92.68832206726074],"[[0, 294, 591, 1079]]"
148,['wildboar'],1,[69.73759531974792],"[[0, 231, 562, 1080]]"
149,['wildboar'],1,[68.42504143714905],"[[0, 364, 605, 1080]]"
150,['wildboar'],1,[65.91596603393555],"[[0, 306, 607, 1080]]"
151,['wildboar'],1,[62.03654408454895],"[[15, 366, 624, 1080]]"
152,['wildboar'],1,[77.26863622665405],"[[30, 334, 604, 1076]]"
153,['wildboar'],1,[56.665194034576416],"[[15, 236, 529, 1080]]"
154,['wildboar'],1,[51.725053787231445],"[[25, 258, 529, 1080]]"
155,['wildboar'],1,[77.61871218681335],"[[0, 304, 611, 1080]]"
